en;nl;fr;de;sv;pl;no;es;it;pt;lv;lt
Enable this setting to have absolute Feature sales prices for Sub-organizations. This means you can define a Sub-organization's Feature sales price with a value, instead of a percentage based on the tenant sales price. Note: this functionality cannot be combined with the Additional group margins functionality on Quotations.;Schakel deze instelling in om absolute verkoopprijzen voor functies voor suborganisaties te hebben. Dit betekent dat u de verkoopprijs van een functie van een suborganisatie kunt definiëren met een waarde, in plaats van een percentage op basis van de verkoopprijs van de huurder. Let op: deze functionaliteit kan niet worden gecombineerd met de functionaliteit voor extra groepsmarges op offertes.;Activez ce paramètre pour avoir des prix de vente de fonctionnalités absolus pour les sous-organisations. Cela signifie que vous pouvez définir le prix de vente d'une fonctionnalité d'une sous-organisation avec une valeur, au lieu d'un pourcentage basé sur le prix de vente du locataire. Remarque : cette fonctionnalité ne peut pas être combinée avec la fonctionnalité de marges de groupe supplémentaires sur les devis.;Aktivieren Sie diese Einstellung, um absolute Verkaufsfunktionen für Unterorganisationen zu haben. Das bedeutet, dass Sie den Verkaufswert einer Funktion einer Unterorganisation definieren können, anstatt einen Prozentsatz basierend auf dem Mieterverkaufspreis. Hinweis: Diese Funktion kann nicht mit der Funktion für zusätzliche Gruppenmargen bei Angeboten kombiniert werden.;Aktivera denna inställning för att ha absoluta försäljningspriser för funktioner för underorganisationer. Det betyder att du kan definiera ett försäljningspris för en underorganisations funktion med ett värde istället för en procentsats baserad på hyresgästens försäljningspris. Obs: den här funktionen kan inte kombineras med funktionen för ytterligare gruppmarginaler i offerter.;Włącz tę opcję, aby mieć absolutne ceny sprzedaży funkcji dla podorganizacji. Oznacza to, że możesz zdefiniować cenę sprzedaży funkcji podorganizacji za pomocą wartości, a nie procentu opartego na cenie sprzedaży najemcy. Uwaga: tej funkcji nie można łączyć z funkcją dodatkowych marż grupowych na ofertach.;Aktiver denne innstillingen for å ha absolutte funksjonssalgspriser for underorganisasjoner. Dette betyr at du kan definere en underorganisasjons funksjonssalgspris med en verdi, i stedet for en prosentandel basert på leietakers salgspris. Merk: denne funksjonaliteten kan ikke kombineres med funksjonaliteten for ekstra gruppemarginer på tilbud.;Habilite esta configuración para tener precios de venta de características absolutos para suborganizaciones. Esto significa que puede definir el precio de venta de una característica de una suborganización con un valor, en lugar de un porcentaje basado en el precio de venta del arrendatario. Nota: esta funcionalidad no se puede combinar con la funcionalidad de márgenes de grupo adicionales en las cotizaciones.;Abilita questa impostazione per avere prezzi di vendita assoluti delle funzionalità per le sotto-organizzazioni. Ciò significa che puoi definire il prezzo di vendita di una funzionalità di una sotto-organizzazione con un valore, anziché una percentuale basata sul prezzo di vendita dell'inquilino. Nota: questa funzionalità non può essere combinata con la funzionalità dei margini di gruppo aggiuntivi sui preventivi.;Ative esta configuração para ter preços de venda absolutos para funcionalidades de sub-organizações. Isso significa que você pode definir o preço de venda de uma funcionalidade de uma sub-organização com um valor, em vez de uma porcentagem baseada no preço de venda do locatário. Nota: esta funcionalidade não pode ser combinada com a funcionalidade de margens de grupo adicionais em cotações.;Iespējojiet šo iestatījumu, lai apakšorganizācijām būtu absolūtas funkcijas pārdošanas cenas. Tas nozīmē, ka jūs varat noteikt apakšorganizācijas funkcijas pārdošanas cenu ar vērtību, nevis procentuālo daļu, pamatojoties uz nomnieka pārdošanas cenu. Piezīme: šo funkcionalitāti nevar apvienot ar papildu grupu maržas funkcionalitāti piedāvājumos.;Įjunkite šį nustatymą, kad suborganizacijos turėtų absoliučias funkcijų pardavimo kainas. Tai reiškia, kad galite apibrėžti suborganizacijos funkcijos pardavimo kainą kaip vertę, o ne procentą, pagrįstą nuomininko pardavimo kaina. Pastaba: šios funkcijos negalima derinti su papildomų grupių maržų funkcija pasiūlymuose.
Note: editing and re-adding configurations to a quotation will reset any price changes made.;Let op: het bewerken en opnieuw toevoegen van configuraties aan een offerte zal eventuele prijswijzigingen resetten.;Remarque : la modification et la réintégration de configurations dans un devis réinitialiseront toutes les modifications de prix apportées.;Hinweis: Das Bearbeiten und erneute Hinzufügen von Konfigurationen zu einem Angebot setzt alle vorgenommenen Preisänderungen zurück.;Observera: redigering och omförande av konfigurationer till en offert kommer att återställa eventuella prisändringar.;Uwaga: edytowanie i ponowne dodanie konfiguracji do oferty zresetuje wszelkie wprowadzone zmiany cen.;Merk: redigering og re-legging av konfigurasjoner til et tilbud vil tilbakestille eventuelle prisendringer som er gjort.;Nota: editar y volver a agregar configuraciones a una cotización restablecerá cualquier cambio de precio realizado.;Nota: la modifica e la riaggiunta delle configurazioni a un preventivo reimposterà eventuali modifiche di prezzo apportate.;Nota: a edição e a reinserção de configurações em uma cotação redefinirá quaisquer alterações de preço feitas.;Piezīme: konfigurāciju rediģēšana un atkārtota pievienošana piedāvājumam atiestatīs visas veiktās cenu izmaiņas.;Pastaba: redaguojant ir iš naujo pridedant konfigūracijas prie pasiūlymo, bus atstatyti visi atlikti kainų pakeitimai.
"The conflict dialog opens up when there is a conflict in selected options when configuring a product in the ""Order Entry"" page. It enables the user to select different options, in order to resolve the conflict. If the dialog is disabled, the software automatically enables/disables certain options such that the selected option is enabled.";Het conflictdialoogvenster verschijnt als er een conflict is tussen de geselecteerde opties tijdens het configureren van een product in de Order Entry. Hiermee kan de gebruiker alternatieve opties kiezen om het conflict op te lossen. Als het dialoogvenster uitgeschakeld is, past de software de opties automatisch aan waarbij ze indien nodig worden in- of uitgeschakeld om ervoor te zorgen dat de geselecteerde optie beschikbaar is.;;Der Konfliktdialog öffnet sich, wenn bei der Konfiguration eines Produkts im Order Entry ein Konflikt zwischen den gewählten Optionen auftritt. Er ermöglicht es dem Benutzer, alternative Optionen auszuwählen, um den Konflikt zu lösen. Wenn das Dialogfeld deaktiviert ist, passt die Software die Optionen automatisch an und aktiviert oder deaktiviert sie je nach Bedarf, um sicherzustellen, dass die ausgewählte Option verfügbar ist.;;;;;;;;
Specify which locale should be used for users without locale settings;Geef aan welke locale gebruikt moet worden voor gebruikers zonder locale-instellingen.;;Legen Sie fest, welche Sprache für Benutzer ohne Spracheinstellungen verwendet werden soll;;;;;;;;
Account info;Account informatie;;Account information;;;;;;;;
Change password;Wijzig wachtwoord;;Passwort ändern;;;;;;;;
Current password;Huidig wachtwoord;;Aktuelles Passwort;;;;;;;;
New password;Nieuw wachtwoord;;Neues Passwort;;;;;;;;
Confirm password;Bevestig wachtwoord;;Passwort bestätigen;;;;;;;;
Recommended;Aanbevolen;;Empfohlen;;;;;;;;
Change the default currency and language for your account, which is used in the EMS.;Verander de standaard valuta en taal voor je account, die in het EMS wordt gebruikt.;;Ändern Sie die Standardwährung und -sprache für Ihren Account, die im EMS verwendet wird.;;;;;;;;
Guides;Handleidingen;;Leitfäden;;;;;;;;
Turn 'Getting Started' guides on/off;'Getting Started'-handleidingen in-/uitschakelen;;'Getting Started'-Leitfäden ein-/ausschalten;;;;;;;;
Showroom guide;Showroom handleiding;;Showroom-Leitfaden;;;;;;;;
Delete feature;Verwijder feature;;Feature löschen;;;;;;;;
Unanswered mandatory features;Onbeantwoorde verplichte velden;;Unbeantwortete Pflichtfelder;;;;;;;;
Please make a selection for the following options before continuing:;Maak een selectie voor de volgende opties voordat je verdergaat:;;Bevor Sie fortfahren, treffen Sie eine Auswahl für die folgenden Optionen:;;;;;;;;
Add new feature for:;Voeg nieuwe feature toe voor:;;Neues Feature hinzufügen:;;;;;;;;
Show more;Meer tonen;;Mehr anzeigen;;;;;;;;
Configuration Models (in path);Configuration Models (in path);;Configuration Models (in path);;;;;;;;
Edit (in path);Aanpassen;;Anpassen;;;;;;;;
Here you can create your Configuration Models. Use Features as building blocks and connect them through relationship types, calculated values or constraints;Hier kun je je configuratiemodellen maken. Gebruik features als bouwstenen en verbind ze met relatietypes, berekende waarden, of beperkingen.;;Hier können Sie Ihre Konfigurationsmodelle erstellen. Verwenden Sie Features als Bausteine und verbinden Sie diese anhand von Beziehungen, Berechnungen oder Einschränkungen;;;;;;;;
search;zoeken;rechercher;suchen;sök;szukaj;søk;buscar;cerca;pesquisar;meklēt;ieškoti
Features are your smart building blocks. Create them here so you can use them in your Configuration Models.;Features zijn de smart building blocks. Maak ze hier aan om ze te gebruiken in je configuratiemodellen.;Les fonctionnalités sont vos blocs de construction intelligents. Créez-les ici afin de pouvoir les utiliser dans vos modèles de configuration.;Feature sind die Smart Building Blocks. Erstellen Sie sie hier, um sie in Ihren Konfigurationsmodellen zu verwenden.;Funktioner är dina smarta byggblock. Skapa dem här så att du kan använda dem i dina konfigurationsmodeller.;Funkcje to twoje inteligentne klocki. Utwórz je tutaj, aby móc używać ich w swoich modelach konfiguracji.;Funksjoner er dine smarte byggeklosser. Opprett dem her, slik at du kan bruke dem i konfigurasjonsmodellene dine.;Las funciones son tus bloques de construcción inteligentes. Créelas aquí para que pueda usarlas en sus modelos de configuración.;Le funzionalità sono i tuoi mattoni intelligenti. Creale qui per poterle utilizzare nei tuoi modelli di configurazione.;Os recursos são seus blocos de construção inteligentes. Crie-os aqui para que você possa usá-los em seus modelos de configuração.;Funkcijas ir jūsu gudrie celtniecības bloki. Izveidojiet tos šeit, lai varētu tos izmantot savos konfigurācijas modeļos.;Funkcijos yra jūsų išmanieji statybiniai blokai. Sukurkite juos čia, kad galėtumėte naudoti savo konfigūracijos modeliuose.
Used in;Gebruikt in;Utilisé dans;Verwend in;Används i;Używany w;Brukt i;Usado en;Usato in;Usado em;Lietots;Naudojamas
Search;Zoeken;Rechercher;Suche;Sök;Szukaj;Søk;Buscar;Cerca;Buscar;Meklēt;Paieška
Edit/Delete;Bewerken/Verwijderen;Modifier/Supprimer;Bearbeiten/Löschen;Redigera/Radera;Edytuj/Usuń;Rediger/Slett;Editar/Eliminar;Modifica/Elimina;Editar/Excluir;Rediģēt/Dzēst;Redaguoti/Ištrinti
Add an extra layer of security to your account.;Voeg een extra beveiligingslaag toe aan je account.;;Erhöhen Sie die Sicherheit Ihres Accounts.;;;;;;;;
Enable two factor authentication;Schakel tweefactorauthenticatie in;;Aktivieren Sie die Zwei-Faktor-Authentifizierung;;;;;;;;
Two factor authentication;Tweefactorauthenticatie;;Zwei-Faktor-Authentifizierung;;;;;;;;
This function allows you to apply one or multiple discounts to your subtotal. Each discount is calculated based on the updated subtotal after the previous discount is applied.;Deze functie stelt je in staat om één of meerdere kortingen toe te passen op je subtotaal. Elke korting wordt berekend op basis van het bijgewerkte subtotaal nadat de vorige korting is toegepast.;;Mit dieser Funktion können Sie einen oder mehrere Rabatte auf Ihre Zwischensumme anwenden. Die Berechnung der einzelnen Rabatte erfolgt auf der Grundlage der aktualisierten Zwischensumme, nachdem der vorherige Rabatt angewendet wurde.;;;;;;;;
Show text in configuration;Toon tekst in configuratie;Afficher le texte dans la configuration;Text in der Konfiguration anzeigen;Visa text i konfigurationen;Pokaż tekst w konfiguracji;Vis tekst i konfigurasjonen;Mostrar texto en configuración;Mostra il testo nella configurazione;Mostrar texto na configuração;Rādīt tekstu konfigurācijā;Rodyti tekstą konfigūracijoje
In non-strict mode, if the specified filter does not find any matching features, it will still return all available features. This mode makes sure that the group is not empty, even when the filter criteria are not met.;In de non-strict modus, als het opgegeven filter geen overeenkomende features vindt, worden toch alle beschikbare features teruggegeven. Deze modus zorgt ervoor dat de groep niet leeg is, zelfs wanneer niet aan de filtercriteria wordt voldaan.;;Im non-strict Modus, wenn der angegebene Filter keine passenden Features findet, werden dennoch alle verfügbaren Features zurückgegeben. Dieser Modus stellt sicher, dass die Gruppe nicht leer ist, auch wenn die Filterkriterien nicht erfüllt werden.;;;;;;;;
Starting price;Startprijs;Prix de départ;Startpreis;Startpris;Cena początkowa;Startpris;Precio inicial;Prezzo di partenza;Preço inicial;Sākuma cena;Pradinė kaina
Submit button;Verzendknop;Bouton de soumission;Einreichen Taste;Skicka knapp;Przycisk wysyłania;Sendeknapp;Botón de envío;Pulsante di invio;Botão de envio;Iesniegšanas poga;Pateikimo mygtukas
Add discount line;Kortingregel toevoegen;Ajouter une ligne de réduction;Rabattlinie hinzufügen;Lägg till rabattlinje;Dodaj linię rabatową;Legg til rabattlinje;Añadir línea de descuento;Aggiungi riga di sconto;Adicionar linha de desconto;Pievienot atlaides līniju;Pridėti nuolaidų eilutę
Purchase Price;Inkoopprijs;Prix d'achat;Einkaufspreis;Inköpspris;Cena zakupu;Innkjøpspris;Precio de compra;Prezzo d'acquisto;Preço de compra;Iepirkuma cena;Pirkimo kaina
Profit margin;Winstmarge;Marge bénéficiaire;Gewinnspanne;Vinstmarginal;Marża zysku;Fortjenestemargin;Margen de beneficio;Margine di profitto;Margem de lucro;Peļņas marža;Pelnos marža
Additional margin;Extra marge;Marge supplémentaire;Zusätzliche Marge;Tilläggsmarginal;Dodatkowa marża;Ekstra margin;Margen adicional;Margine aggiuntivo;Margem adicional;Papildu peļņas marža;Papildoma marža
Document generation settings;Instellingen voor documentgeneratie;Paramètres de génération de documents;Dokumentengenerierungseinstellungen;Dokumentgenereringsinställningar;Ustawienia generowania dokumentów;Dokumentgenereringsinnstillinger;Configuración de generación de documentos;Impostazioni di generazione documenti;Configurações de geração de documentos;Dokumentu ģenerēšanas iestatījumi;Dokumentų generavimo nustatymai
Attachments;Bijlagen;Pièces jointes;Anhänge;Bilagor;Załączniki;Vedlegg;Adjuntos;Allegati;Anexos;Pielikumi;Priedai
Please make a selection for;Maak een selectie voor;Veuillez faire une sélection pour;Bitte treffen Sie eine Auswahl für;Vänligen gör ett val för;Proszę dokonać wyboru dla;Vennligst velg for;Por favor haga una selección para;Si prega di fare una selezione per;Por favor, faça uma seleção para;Lūdzu, izvēlieties;Prašome pasirinkti
